Feature_ID,Feature_Name,Feature_Description
F194,GSM/GPRS Capability,"Provides cellular connectivity using GSM and GPRS protocols, enabling communication in areas without Wi-Fi or other wireless networks. This expands the range and reliability of IoT deployments."
F195,"GNSS Support (BeiDou, GPS, GLONASS, QZSS)","Integrates support for multiple GNSS systems (BeiDou, GPS, GLONASS, and QZSS) for precise location tracking and positioning data acquisition. This is crucial for applications requiring location awareness."
F196,Built-in LNA,"Includes a Low Noise Amplifier (LNA) to improve the reception sensitivity of the cellular signals, enhancing performance in areas with weak signal strength."
F197,IPEX Connectors for GSM and GNSS Antennas,"Utilizes IPEX connectors for easy connection of external GSM and GNSS antennas, allowing for customization and optimization of antenna performance based on the application's needs."
F198,Micro-USB Debug and Log Output Connector,"Provides a Micro-USB connector for convenient debugging and accessing log data, simplifying the development and troubleshooting process."
F199,Nano SIM Support,"Supports the use of Nano SIM cards, offering a compact and widely available option for cellular connectivity."
F200,3.3V Power Supply,"Operates with a 3.3V power supply, compatible with standard WisBlock power requirements."
F201,M.2 Blues.IO Notecard Connector,"Provides a direct interface for connecting Blues.IO Notecards, enabling seamless integration with the Notecard's data logging and cellular communication capabilities."
F202,Blues Notecard NOTE-NBGL-500 Quectel BG-95 M3 Support,"Specifically supports the Blues Notecard NOTE-NBGL-500 and Quectel BG-95 M3 cellular modules, ensuring compatibility and optimized performance."
F203,IPEX Connectors for Cellular and GNSS Antenna,"Utilizes IPEX connectors for easy connection of cellular and GNSS antennas, simplifying antenna integration and facilitating optimal signal reception."
F204,USB Type-C Debug and Log Output Connector,"Provides a USB Type-C port for convenient debugging and log output, simplifying development and troubleshooting."
F205,EX_POWER Connector for 5V Supply,Features an EX_POWER connector that can supply 5V to power the entire WisBlock solution.
F206,Nano SIM and eSIM Options,"Supports both Nano SIM and eSIM options, offering flexibility in cellular connectivity choices."
F207,Two WisBlock Sensor Slot Connectors,"Includes two WisBlock sensor slot connectors, allowing for easy expansion and integration with various WisBlock sensors."
F208,3.3V Power Supply (Requires Additional Battery),"Operates on a 3.3V power supply, but requires an external battery for sufficient power during cellular transmissions."
F209,UWB Technology,"Utilizes Ultra-Wideband (UWB) technology for short-range, high-precision wireless communication.  This offers significant advantages in accuracy and immunity to multipath fading compared to other short-range technologies like Bluetooth or Wi-Fi."
F210,Integrated Antenna,"Includes an integrated antenna, simplifying integration and reducing the need for external antenna components."
F211,Decawave DW1000 Chipset,"Employs the Decawave DW1000 chipset, a highly capable UWB transceiver known for its precision and performance in ranging and location applications."
F212,High Data Rate (up to 6.8 Mbps),"Supports data rates up to 6.8 Mbps, enabling the transmission of relatively large amounts of data over short distances."
F213,10cm Location Precision,"Provides highly accurate location data with a precision of up to 10 centimeters, suitable for applications requiring precise asset tracking."
F214,High Multipath Fading Immunity,"Offers robust performance in environments with significant multipath fading, ensuring reliable communication even in challenging conditions."
F215,Support for 2-way Ranging and TDOA,"Compatible with both 2-way ranging and Time Difference of Arrival (TDOA) location systems, offering flexibility in system design."
F216,Low Power Consumption,"Designed for low power consumption, extending battery life in battery-powered applications."
F217,Operating Temperature: -40°C ~ 85°C,"Operates reliably across a wide temperature range, from -40°C to 85°C, suitable for various deployment environments."
F218,Module Size: 35 x 25 mm,Compact module size (35 x 25 mm) for easy integration into various devices and systems.
F219,Fingerprint Enrollment,Allows for the registration of fingerprints into the module's memory for later authentication.
F220,Fingerprint Matching,Compares a scanned fingerprint against the enrolled fingerprints stored in the module's memory to verify identity.
F221,GROW R307 Fingerprint Sensor,"Utilizes the GROW R307 sensor chip for fingerprint capture and processing, offering fast scanning and verification speeds."
F222,Built-in 5V Boost Converter,"Integrates a boost converter to provide a 5V output from a 3.3V input, simplifying power management."
F223,256-byte Character File Size,Each stored fingerprint template occupies 256 bytes of memory.
F224,<0.3 Second Scanning Speed,The module can scan and capture a fingerprint in less than 0.3 seconds.
F225,<0.2 Second Verification Speed,Fingerprint verification is completed in under 0.2 seconds.
F226,Contactless Thermal Measurement,"The sensor measures temperature without physical contact, enabling measurement of moving or hard-to-reach objects and preventing contamination or damage."
F227,±0.2°C Accuracy (35°C-42°C),"Provides high accuracy (±0.2°C) within the crucial 35°C to 42°C range, making it suitable for medical applications like body temperature monitoring."
F228,50° Field of View,"The sensor has a 50-degree field of view, allowing for measurement of a wider area."
F229,Configurable Refresh Rate (0.5Hz - 64Hz),"Allows users to adjust the data acquisition rate based on application needs, balancing accuracy and power consumption."
F230,Melexis MLX90632SLD-DCB-000-RE Chipset,"Utilizes the Melexis MLX90632SLD-DCB-000-RE chipset, a high-performance infrared temperature sensor known for its accuracy and reliability."
F231,<2.5 µA Sleep Current,"Extremely low power consumption in sleep mode, extending battery life in portable or battery-powered applications."
F232,10 x 10 mm Size,Compact size for easy integration into various devices and systems.
F233,MQ2 Gas Sensor,"Utilizes the Winsen MQ-2 gas sensor, providing detection capabilities for LPG, butane, propane, methane, alcohol, hydrogen, smoke, and other flammable gases.  This allows for real-time monitoring of gas levels and the triggering of alerts based on predefined thresholds."
F234,I2C Interface for Gas Sensor Data,Provides a standard I2C interface for seamless integration with other WisBlock modules and microcontrollers. This allows for easy communication and data acquisition from the gas sensor.
F235,Alert Function,Incorporates an alert function that triggers when gas levels exceed predefined thresholds. This allows for immediate notification of potential hazards.
F236,Pyroelectric Infrared (PIR) Sensing,"The module utilizes a PIR sensor to detect infrared radiation emitted by moving objects, enabling motion and occupancy detection. This is crucial for various applications requiring presence or movement monitoring."
F237,Schmitt Trigger Output,"The module employs a Schmitt trigger to provide a clean and noise-resistant digital output signal, improving reliability and reducing false triggers."
F238,Built-in Filter,"An integrated filter helps to reduce interference from other frequency sources, ensuring more accurate and reliable motion detection."
F239,Digital Signal Processing,The module incorporates digital signal processing to enhance the accuracy and reliability of the motion detection capabilities.
F240,Senba Sensing Technology AM312 Chipset,Utilizes the AM312 chipset from Senba Sensing Technology for reliable and accurate PIR sensing.
F241,16-bit Resolution Ambient Light Sensor,"The module incorporates a high-resolution 16-bit ambient light sensor, enabling precise measurements of light intensity with a resolution of 0.0036 lx. This level of precision is crucial for applications requiring accurate light level detection."
F242,"Ambient Light Range: 0 lx to 120,000 lx","The sensor can accurately measure a wide range of ambient light levels, from complete darkness (0 lx) to very bright conditions (approximately 120,000 lx). This broad range makes it suitable for diverse applications and environments."
F243,Excellent Temperature Compensation,"The sensor includes built-in temperature compensation, ensuring accurate measurements across a wide range of operating temperatures. This feature eliminates errors caused by temperature fluctuations, improving the reliability of the data."
F244,Vishay Semiconductors VEML7700 Chipset,"The module utilizes the Vishay Semiconductors VEML7700 chipset, a high-performance and reliable ambient light sensor known for its accuracy and low power consumption. This choice ensures high-quality data acquisition."
F245,Module Size: 10 x 10 mm,The compact size of 10 x 10 mm makes the module ideal for space-constrained applications and easy integration into various devices and systems.
F246,Low Current Consumption: <2-45 uA,"The module's low power consumption, ranging from 2 to 45 µA, extends battery life in portable and battery-powered applications, making it suitable for long-term deployments."
F247,Pulse Oximetry,"Measures blood oxygen saturation (SpO2) levels, providing crucial information about the body's oxygenation."
F248,Heart Rate Monitoring,"Accurately measures heart rate, providing valuable data for health and fitness applications."
F249,MAX30102 Sensor Integration,"Utilizes the Analog Devices MAX30102 sensor, a highly accurate and reliable sensor for pulse oximetry and heart rate monitoring."
F250,LED Reflective Solution,Employs an LED reflective solution for accurate and non-invasive measurement of heart rate and SpO2.
F251,Ultra-Low Power Operation,"Designed for low power consumption, extending battery life in portable and remote applications."
F252,Robust Motion Artifact Resilience,"Minimizes the impact of movement on measurement accuracy, ensuring reliable data even during activity."
F253,Fast Data Output Capability,"Provides rapid data output, enabling real-time monitoring and quick response to changes in vital signs."
F254,-40°C to +85°C Operating Temperature Range,"Operates reliably across a wide temperature range, suitable for various environmental conditions."
F255,25 mm x 35 mm Module Size,Compact module size for easy integration into various devices and systems.
F256,3.2 GHz Microwave Radar Sensing,"The module utilizes a 3.2 GHz microwave radar to detect motion based on the Doppler effect. This allows for detection of movement within a 5-7 meter radius and a 360-degree field of view, providing comprehensive coverage without blind spots."
F257,RCWL-9196 Chipset,"The RAK12013 incorporates the RCWL-9196 chipset, a dedicated motion detection module that transmits and receives 3.2 GHz radar signals to accurately determine movement."
F258,Repeat Trigger,"The module uses a repeat trigger mechanism for motion detection, ensuring continuous monitoring and responsiveness to movement."
F259,Vibration Detection,The module incorporates a high-precision vibration sensor capable of detecting micro-shocks and vibrations without directional limitations. This allows for precise monitoring of vibrations in various applications.
F260,ANT-801S Chipset,"The module utilizes the ANT-801S chipset, a high-precision sensor specifically designed for vibration detection, ensuring accurate and reliable measurements."
F261,15mm x 25mm Module Size,The compact size of 15mm x 25mm allows for easy integration into space-constrained applications and seamless integration within the WisBlock system.
F262,IR Signal Reflection Detection,The module detects whether an infrared (IR) signal is reflected back. This allows for applications such as object proximity detection and line tracking.
F263,ITR20001 Optical Switch,Utilizes the Everlight ITR20001 optical switch for accurate and reliable IR signal detection.
F264,1 cm to 5 cm Infrared Line Tracking Range,The module can detect infrared signals reflected from objects within a range of 1 cm to 5 cm.
F265,15 mm x 25 mm Module Size,The compact size of the module (15 mm x 25 mm) allows for easy integration into various applications.
F266,λP=940 nm,Specifies the peak wavelength of the infrared light used for detection.
F267,<21 mA Current Consumption,"The module has a low current consumption of less than 21 mA, making it energy-efficient."
F268,I2C Interface (Standard and Fast Mode),"The sensor utilizes an I2C interface capable of both Standard mode communication at 100 kHz and Fast mode at 400 kHz, providing flexibility in communication speed and compatibility with various systems. This digital interface offers superior noise immunity compared to analog outputs."
F269,13 to 20 bits Effective Resolution,"The sensor offers a high effective resolution ranging from 13 to 20 bits, enabling precise measurements of ambient light and UV intensity. This high resolution minimizes measurement errors and provides accurate data for various applications."
F270,"Wide Dynamic Range (1:18,000,000)","The sensor boasts a wide dynamic range of 1:18,000,000, allowing it to accurately measure light levels across a broad spectrum, from very low to very high intensities. This ensures reliable performance in diverse lighting conditions."
F271,Close to Human Eye Spectral Response,"The sensor's spectral response closely mimics that of the human eye, providing measurements that are more relevant to human perception of light and UV levels. This is crucial for applications where human comfort or safety is a factor."
F272,Automatic 50Hz/60Hz Lighting Flicker Rejection,"The sensor automatically rejects interference from 50Hz and 60Hz lighting flicker, ensuring accurate and stable measurements even in environments with fluctuating light sources. This eliminates noise and improves data reliability."
F273,Programmable Interrupt Function,"The sensor features a programmable interrupt function for both ALS and UVS, allowing it to trigger an event when light or UV levels exceed predefined thresholds. This enables real-time monitoring and automated responses based on sensor readings."
F274,Built-in Temperature Compensation Circuit,"The sensor incorporates a built-in temperature compensation circuit, ensuring accurate measurements across a wide range of operating temperatures. This eliminates errors caused by temperature variations and improves measurement consistency."
F275,1.8V Logic Compatible,"The sensor is compatible with 1.8V logic levels, ensuring seamless integration with various microcontrollers and systems operating at this voltage. This simplifies the design and reduces the need for voltage level shifting."
F276,Very Low Power Consumption with Sleep Mode,"The sensor features very low power consumption, further enhanced by a sleep mode capability, making it suitable for battery-powered applications and extending the operational lifespan of the device.  Current consumption ranges from 1µA to 110µA."
F277,RoHS and Halogen-Free Compliant,"The sensor module complies with RoHS and halogen-free standards, ensuring environmental friendliness and meeting regulatory requirements for electronic components."
F278,10mm x 10mm Module Size,"The sensor module has a compact size of 10mm x 10mm, making it suitable for space-constrained applications and enabling easy integration into various devices and systems."
F279,RGB Color Light Sensing,"The module incorporates an RGB sensor capable of detecting the intensity of red, green, blue, and clear light. This allows for precise color measurement and analysis in various applications."
F280,IR Proximity Detection,"An integrated infrared LED enables proximity detection, allowing the module to sense the presence of nearby objects. This functionality can be used for various applications such as object detection, presence sensing, and touchless interaction."
F281,Maskable Light and Proximity Interrupt,"The module supports maskable interrupts for both light and proximity detection. This allows for efficient event-driven operation, reducing power consumption and improving responsiveness."
F282,Ultra-low power consumption (2.5 uA sleep current),"The module boasts an ultra-low power consumption of 2.5 µA in sleep mode, making it suitable for battery-powered and energy-constrained applications."
F283,PT100 RTD Support,The module directly supports PT100 platinum resistance temperature detectors (RTDs) for precise temperature sensing. This allows for accurate temperature measurements in various applications.
F284,MAX31865 Resistance-to-Digital Converter,"Utilizes the MAX31865 chip, an easy-to-use resistance-to-digital converter optimized for RTDs. This ensures accurate conversion of resistance readings to digital temperature values."
F285,Overvoltage Protection (up to 45V),"The module's inputs are protected against overvoltage faults as large as 45V, enhancing its robustness and reliability in various operating conditions."
F286,Programmable RTD and Cable Fault Detection,"The module includes programmable detection of RTD and cable open and short conditions, allowing for error handling and improved system diagnostics."
F287,"2-wire, 3-wire, and 4-wire Sensor Connection Compatibility","Supports various wiring configurations for PT100 sensors, offering flexibility in system design and integration."
F288,15-Bit ADC Resolution,"Provides high resolution temperature readings, enhancing measurement accuracy."
F289,Fully Differential VREF Inputs,Employs fully differential VREF inputs for improved noise immunity and measurement stability.
F290,21ms (max) Conversion Time,"Offers a fast conversion time, enabling quick temperature readings and responsive system feedback."
F291,Omron D7S Seismic Sensor Integration,"The module integrates the Omron D7S, a high-precision, miniature seismic sensor known for its accuracy and low power consumption. This sensor enables precise measurement of seismic intensity and provides a reliable signal for earthquake detection."
F292,Collapse Alarm,"In addition to earthquake detection, the module includes a collapse alarm that triggers when the device's orientation changes by more than 20 degrees, indicating potential structural failure."
F293,Seismic Intensity Measurement (JMA Scale),"The module measures seismic intensity using the SI value, which correlates highly with the JMA seismic intensity scale. This provides a more precise assessment of earthquake magnitude compared to traditional methods."
F294,Interrupt Pin for Earthquake Detection,"The module utilizes an interrupt pin to signal the occurrence of an earthquake, allowing for immediate response and action."
F295,Low Power Consumption for Long-Term Operation,"The module is designed for low power consumption, enabling extended operation on battery power, making it suitable for remote and long-term deployments."
F296,Inductive Sensing,"The module utilizes inductive sensing technology to detect the presence of metallic objects. This is achieved by measuring the oscillation frequency of LC resonators, providing a digital output proportional to the inductance."
F297,Up to Four Sensing Channels,"The module supports up to four independent sensing channels, allowing for simultaneous detection of metallic objects at multiple locations or with different sensitivities."
F298,28-bit LDC Resolution,"The integrated LDC (Inductance-to-Digital Converter) provides 28-bit measurement resolution, enabling highly precise inductance measurements and enhanced sensitivity in metal detection."
F299,Immunity to DC Magnetic Fields and Magnets,"The sensor is designed to be immune to interference from DC magnetic fields and magnets, ensuring reliable operation in environments with fluctuating magnetic fields."
F300,Low Power Consumption (0.2 µA to 2.1 mA),"The module boasts low power consumption, ranging from 0.2 µA to 2.1 mA, making it suitable for battery-powered applications and extending operational lifespan."
F301,Texas Instruments LDC1614 Chipset,"The module is built around the Texas Instruments LDC1614 chipset, a high-performance inductance-to-digital converter known for its accuracy and reliability."
F302,"±2g, ±4g, ±8g, and ±16g Accelerometer Output Range","The module offers selectable accelerometer output ranges (±2g, ±4g, ±8g, and ±16g), allowing users to adjust the sensitivity and measurement range to suit their specific application needs. This flexibility ensures accurate measurements across a wide range of motion intensities."
F303,"±15.625, ±31.25, ±62.5, ±125, ±250, ±500, ±1000, and ±2000 degrees/sec Gyroscope Output Range","The module provides a wide selection of gyroscope output ranges (±15.625 to ±2000 degrees/sec), enabling accurate measurement of angular velocity across various applications. This adaptability ensures precise measurements regardless of the speed and intensity of rotation."
F304,"20,000g Shock Tolerance","The RAK12033 can withstand shocks up to 20,000g, making it highly robust and reliable in harsh environments or applications subject to significant impacts. This high shock tolerance ensures the sensor's continued operation even under extreme conditions."
F305,1 MHz I2C Digital Output Interface,"The module utilizes a high-speed 1 MHz I2C digital interface for data communication, enabling rapid data transfer and efficient integration with other systems. This high-speed interface minimizes latency and ensures real-time data acquisition."
F306,-40°C ~ 105°C Operating Temperature Range,"The sensor operates reliably within a wide temperature range of -40°C to 105°C, making it suitable for deployment in diverse environments, including extreme temperatures. This extended operating temperature range ensures consistent performance across various climatic conditions."
F307,TDK InvenSense IIM-42652 Chipset,"The module is based on the TDK InvenSense IIM-42652 chipset, a high-performance 6-axis inertial measurement unit (IMU) known for its accuracy, stability, and low power consumption. This choice of chipset ensures high-quality data and reliable operation."
F308,46.7 uA to 959 uA Current Consumption,"The module's current consumption ranges from 46.7 uA to 959 uA, depending on the operating mode and configuration. This low power consumption makes it suitable for battery-powered applications and extends the operational lifespan of the device."
F309,"PM1.0, PM2.5, and PM10 Measurement","The module measures particulate matter concentrations in three size ranges: PM1.0, PM2.5, and PM10. This provides a comprehensive understanding of air quality, differentiating between smaller and larger particles which have different health impacts."
F310,PMSA003I Digital Sensor Integration,"The module incorporates the PMSA003I digital particle concentration sensor, providing accurate and reliable measurements of particulate matter."
F311,On-board Boost Converter,"An integrated boost converter allows the module to operate with a 5V power supply, simplifying integration and reducing the need for external voltage regulation."
F312,Wide Operating Temperature Range,"The module operates reliably within a temperature range of -10°C to 60°C, ensuring functionality in diverse environmental conditions."
F313,Compact Size,The module's compact size (25 x 15 mm) allows for easy integration into space-constrained applications.
F314,Standard Screw Fastening,The module utilizes a standard screw fastening mechanism for secure and reliable mounting to various surfaces.
F315,Reed Sensor with Cable Termination,The sensor incorporates a reed switch with cable termination for convenient and robust connection to external circuitry.
F316,Push-in Termination of Solid Conductors,"The module features push-in termination for solid conductors, enabling easy connection and removal using an appropriate tool."
F317,Immunity to Nearby Electrical Motors,"The sensor is designed to be unaffected by nearby electrical motors (within 5cm), ensuring reliable operation in electrically noisy environments."
F318,Nine Gesture Recognition,"The module can recognize nine distinct hand gestures: up, down, left, right, forward, backward, clockwise circle, counter-clockwise circle, and wave. This allows for intuitive and contactless control in various applications."
F319,Proximity Detection,"The sensor can detect the proximity of objects, enabling applications that respond to the presence or absence of nearby objects."
F320,60-600 °/s Gesture Speed (Normal Mode),"The sensor can detect gestures with a speed of 60-600°/s in normal mode, ensuring accurate recognition even with relatively fast movements."
F321,60-1200 °/s Gesture Speed (Gaming Mode),"In gaming mode, the gesture speed detection increases to 60-1200°/s, suitable for faster-paced applications."
F322,On-board Low-Noise High PSRR Voltage Regulator,An integrated voltage regulator minimizes noise and ensures stable power supply for reliable operation.
F323,Flexible Power-Saving Scheme,"The module incorporates a power-saving scheme to optimize energy consumption, extending battery life in portable applications."
F324,I2C Interface up to 400 kbit/s,"The module communicates via I2C interface with a data rate up to 400 kbit/s, enabling fast data transfer."
F325,Ambient Light Immunity,"The sensor is designed to minimize interference from ambient light, ensuring reliable performance in various lighting conditions."
F326,Ambient Light Noise Cancellation,"The module actively cancels out noise caused by ambient light, improving the accuracy of gesture and proximity detection."
F327,Storage Temperature: -40°C ~ 125°C,The module can withstand storage temperatures ranging from -40°C to 125°C.
F328,Module Size: 25 x 15 mm,The compact size of 25 x 15 mm makes it suitable for space-constrained applications.
F329,Programmable High and Low Thresholds for Accumulated Charge,"The module allows setting programmable high and low thresholds for the accumulated charge.  When a threshold is exceeded, an alert is generated by setting a flag in the internal status register. This feature enables proactive monitoring of battery charge levels and allows for timely alerts before critical low-charge conditions are reached, preventing unexpected device shutdowns."
F330,1% Charge Accuracy,"The RAK16002 boasts a high degree of accuracy in charge measurement, achieving 1% accuracy. This precision ensures reliable and trustworthy battery charge data, crucial for applications requiring precise energy management and accurate state-of-charge estimations."
F331,Configurable Alert Output/Charge Complete Input,"The module offers a configurable alert output, allowing for customized responses based on charge thresholds.  Additionally, it includes a charge complete input, enabling integration with charging systems for comprehensive battery management."
F332,Stereo Microphone Functionality,"The module incorporates two microphones to capture sound from two channels, enabling stereo audio recording and potentially providing directional audio information."
F333,PDM Interface,"The module utilizes a Pulse Density Modulation (PDM) interface for digital audio data transmission, offering a simple and efficient method for transferring audio signals."
F334,Configurable Microphone Orientation,"The module allows users to configure the microphone orientation (left or right channel prioritization) through a switch resistor, providing flexibility in audio capture."
F335,64 dB Signal-to-Noise Ratio,"The high signal-to-noise ratio ensures clear audio capture with minimal background noise interference, improving the quality and reliability of the recorded audio."
F336,Low Power Consumption (5 µA to 650 µA),"The module's low power consumption extends battery life in portable or remote applications, making it suitable for various power-constrained environments."
F337,Piezo-resistive Pressure Sensing,Utilizes a piezo-resistive sensing element to measure absolute atmospheric pressure. This technology offers high accuracy and stability over a wide temperature range.
F338,260-1260 hPa Pressure Measurement Range,"The sensor accurately measures atmospheric pressure within a range of 260 hPa to 1260 hPa, suitable for various environmental conditions and altitudes."
F339,±0.1 hPa Pressure Accuracy,"Provides highly accurate pressure readings with a precision of ±0.1 hPa, ensuring reliable data for applications requiring high accuracy."
F340,-40°C to +85°C Temperature Measurement Range,"The sensor can accurately measure temperature within a wide range from -40°C to +85°C, enabling operation in diverse environments."
F341,±1.5 °C Temperature Accuracy,"Provides accurate temperature readings with a precision of ±1.5 °C, ensuring reliable temperature compensation for pressure measurements."
F342,1 µA to 12 µA Current Consumption,"The sensor operates with ultra-low power consumption, ranging from 1 µA to 12 µA, making it suitable for battery-powered applications."
F343,ST LPS22HB Chipset,"Employs the ST LPS22HB chipset, a high-performance and low-power pressure sensor known for its accuracy and reliability."
F344,10 x 10 mm Module Size,The ultra-compact module size (10 x 10 mm) allows for seamless integration into space-constrained designs.
F345,WisBlock Audio Series Integration,"The module is designed specifically for integration with the WisBlock Audio series of modules, allowing for the connection and control of multiple audio modules from a single WisBlock IO slot. This simplifies the design and reduces the number of IO slots required for complex audio applications."
F346,PDM MIC Connector (FPC),The module includes a Flexible Printed Circuit (FPC) connector specifically designed for connecting Pulse Density Modulation (PDM) microphones. This allows for easy integration of various PDM microphones for audio input.
F347,TF Card Connector,"The module features a TF (microSD) card connector, enabling the storage of audio data or other relevant information locally on the device."
F348,BTB Connector for WisBlock Audio Stack,"The module utilizes a Board-to-Board (BTB) connector for connecting other WisBlock Audio modules, allowing for a modular and expandable audio system."
F349,Two IO Expanders (TPT29555-TS5R),The module incorporates two TPT29555-TS5R IO expanders to increase the number of I/O pins available for controlling and interfacing with other WisBlock modules.
F350,Signal Switch (5223YWQ10/TR),A 5223YWQ10/TR signal switch is integrated to manage signal routing and selection between different WisBlock Audio modules connected to the interposer.
F351,Ultrasonic PDM Microphone,"The module incorporates an ultrasonic PDM microphone, capable of capturing high-frequency sound waves beyond the range of human hearing. This enables applications such as proximity detection, object recognition, and advanced audio analysis that are not possible with standard microphones."
F352,Left/Right Channel Selection,"The module allows for selection between left and right audio channels, providing flexibility in audio input configuration and enabling stereo audio capture when paired with appropriate hardware."
F353,20kHz - 80kHz Flat Frequency Response,"The module boasts a flat frequency response across the 20kHz to 80kHz range, ensuring accurate and consistent audio capture within the ultrasonic spectrum. This is crucial for reliable performance in various applications."
F354,Low Distortion and High SNR,"The module is designed for low audio distortion and high signal-to-noise ratio (SNR), resulting in clean and accurate ultrasonic audio data. This is essential for applications requiring high fidelity and precise measurements."
F355,Omnidirectional Sensitivity,"The microphone exhibits omnidirectional sensitivity, meaning it can capture sound from all directions equally. This simplifies deployment and eliminates the need for precise microphone orientation."
F356,15 x 25 mm Module Size,The module's compact size (15 x 25 mm) allows for seamless integration into space-constrained applications and devices.
F357,Class-H boost converter,"A high-efficiency Class-H boost converter optimizes power delivery to the amplifier, improving efficiency and reducing power consumption."
F358,Built-in speaker sense and automatic gain control,The module incorporates speaker sense and automatic gain control for optimized audio output and speaker protection.
F359,"Thermal, short-circuit, and under-voltage protection","Integrated protection mechanisms safeguard the module and connected components against thermal overload, short circuits, and undervoltage conditions."
F360,Amplifier power selectable by solder bridge,"The amplifier's output power can be adjusted by changing a solder bridge configuration, offering flexibility in power output."
F361,Speaker voltage and current sensing feedback,"Integrated speaker voltage and current sensing provides feedback for speaker protection algorithms, preventing damage to the speaker due to over-voltage or over-current conditions."
F362,Automatic gain control,"Built-in automatic gain control (AGC) automatically adjusts the amplifier's gain to maintain optimal audio levels, preventing clipping and distortion."
F363,Pulse Density Modulation (PDM) Interface for Digital Microphone,"The module incorporates a PDM interface, enabling direct connection and processing of signals from digital microphones. This simplifies integration and improves audio quality by reducing noise and distortion compared to analog microphone interfaces."
F364,Two I2S Interfaces (Host and Amplifier),"The module provides two I2S interfaces: one for communication with a host processor and another for connecting to an audio amplifier. This allows for flexible audio routing and processing, enabling advanced audio applications."
F365,Voice Trigger (VT),"The module supports Voice Trigger functionality, allowing devices to activate based on specific voice commands or keywords. This enhances user interaction and enables hands-free operation."
F366,Voice Authentication (VA),"The module supports Voice Authentication, enabling secure access control and user verification based on voice patterns. This enhances security and privacy in voice-enabled applications."
F367,Voice Command (VC),"The module supports Voice Command functionality, allowing users to control devices and applications through voice instructions. This simplifies user interaction and improves usability."
F368,Noise Reduction (NR),The module incorporates advanced noise reduction algorithms to minimize background noise and improve audio clarity. This is crucial for applications in noisy environments.
F369,Acoustic Echo Cancellation (AEC),"The module features Acoustic Echo Cancellation, eliminating echoes and improving audio quality in applications with speakers and microphones in close proximity. This is essential for hands-free communication and voice-controlled devices."
F370,Sound Event Detection (SED),"The module supports Sound Event Detection, enabling the identification and classification of various sounds. This opens up possibilities for applications such as anomaly detection, environmental monitoring, and security systems."
F371,Synaptics DBM10L AI/ML SoC,"The module is built around the Synaptics DBM10L, a powerful AI/ML-capable digital signal processor (DSP) optimized for voice and sensor processing. This enables advanced audio processing algorithms and machine learning capabilities."
F372,Relay Isolated Output,"Provides a digitally controlled output isolated by an electromechanical relay, allowing the safe switching of high-voltage or high-current devices. This isolation protects the main system from potential damage due to voltage spikes or surges from the connected device."
F373,Opto-Coupled Isolated Input,"Provides a digitally monitored input isolated by an opto-coupler, protecting the main system from voltage spikes or surges from the connected device.  The input can be configured for wet or dry contact operation."
F374,2500 VDC Isolation,"Provides up to 2500 VDC isolation between the internal circuitry of the module and the external connections, ensuring robust protection against voltage surges and spikes."
F375,30 VDC/2 A Relay Output Rating,"The relay output is rated for a maximum voltage of 30 VDC and a maximum current of 2 A, allowing it to switch a wide range of devices."
F376,12-24V Opto-Coupler Input,"The opto-coupler input supports a voltage range of 12-24V, providing flexibility in connecting various sensors and devices."
F377,Wet/Dry Contact Input Configuration,"The isolated input can be configured to operate in either wet contact (default) or dry contact mode, offering flexibility for different applications."
F378,16-Bit Remote Bidirectional I/O Port,"Provides 16 bidirectional digital I/O pins, significantly expanding the input/output capabilities of the WisBlock system. This allows for connection to a large number of external devices and sensors."
F379,High-Speed I2C Interface,"Supports both standard and fast I2C communication modes, enabling faster data transfer rates and improved responsiveness for applications requiring real-time data acquisition or control."
F380,Configurable Interrupt Output Pins,"The INTA and INTB pins can be configured independently or together to generate interrupts, signaling events or changes in the connected devices. This allows for efficient event-driven processing."
F381,External Reset Input,"Provides an external pin for resetting the module, allowing for remote or manual control of the module's operation."
F382,Low Standby Current: 1 μA (max.),"The module consumes minimal power in standby mode, making it suitable for battery-powered applications and extending the operational lifespan of the device."
F383,Operating Voltage: 2.7 V to 5.5 V @ -40 °C to +85 °C,"The module operates reliably across a wide range of input voltages and temperatures, ensuring compatibility with various power sources and environmental conditions."
F384,Microchip MCP23017 Chipset,"Utilizes the Microchip MCP23017 I/O expander IC, a reliable and well-documented component known for its robust performance and ease of integration."
F385,Module size: 25x35mm,Compact module size for easy integration into space-constrained designs.
F386,16 LED drivers connector,"Provides 16 independent channels for controlling LEDs, allowing for complex lighting patterns and individual LED brightness adjustments."
F387,4096-step (12-bit) linear programable brightness per LED,"Offers fine-grained control over LED brightness, enabling smooth transitions and precise light intensity adjustments for each of the 16 channels."
F388,LED output frequency typically varies from 24 Hz to 1526 Hz,"Allows for adjustment of the LED output frequency within a specified range, potentially impacting the perceived brightness and flicker characteristics."
F389,Supports hot insertion,"Allows the module to be connected or disconnected while the system is powered on, simplifying maintenance and reducing downtime."
F390,Low Standby Current,"Consumes minimal power when idle, extending battery life in portable or battery-powered applications."
F391,5.5 V tolerant inputs,"Can withstand input voltages up to 5.5V without damage, providing robustness and tolerance to voltage fluctuations."
F392,Operating Voltage: 2.3 V to 5.5 V @ -40 °C to +85 °C,"Specifies the wide operating voltage and temperature range, ensuring reliable performance in diverse environments."
