Product_ID,Product_Name,Product_Model,Product_Line,Product_Subline,Hardware/Software,Deployment_Environment,Description_And_Application,Connectivity,Region Support,Notes
P53,RAK11310 WisBlock LoRaWAN Module,RAK11310,Wisblock,N/A,Hardware,Both,"The RAK11310 WisBlock LoRaWAN Module is a core module for the RAKwireless WisBlock hardware IoT platform, built around the RP2040 ARM microcontroller and the Semtech SX1262 LoRa transceiver.  Its primary function is to provide a versatile and easily programmable platform for various LoRaWAN applications.  The module's compact size and compatibility with WisBlock Base boards make it ideal for creating compact and easily expandable IoT devices.  Its suitability extends to diverse applications across various sectors, including home automation (smart lighting, security systems), sensor networks (environmental monitoring, industrial automation), and personal area networks (wearable health trackers, fitness monitors). The RAK11310 simplifies development with its support for Arduino IDE, PlatformIO, and MicroPython, allowing for rapid prototyping and deployment of IoT solutions.","LoRaWAN, UART, I2C, GPIO, USB","EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK11310 requires a WisBlock Base board for power and programming.  Securely mounting the module with screws is crucial for proper operation.  Always connect an antenna when using the LoRa transceiver to prevent damage. The module complies with LoRaWAN 1.0.2 protocols and supports LoRa point-to-point communication.  The module operates within a supply voltage range of 2.0V to 3.6V and a temperature range of -20°C to 70°C.
P54,RAK11722 WisBlock LPWAN Module,RAK11722,Wisblock,N/A,Hardware,Both,"The RAK11722 WisBlock LPWAN Module is a compact and versatile module designed for various IoT applications.  Built around the Ambiq Apollo3 Blue AMA3B1KK-KBR-B0 SoC MCU and an SX1262 LoRa chip, it offers ultra-low power consumption (2.37 μA in sleep mode) and long-range communication capabilities.  Its compatibility with LoRaWAN 1.0.3 and support for LoRa point-to-point communication make it suitable for a wide range of applications, including home automation, sensor networks, building automation, and personal area networks.  In the realm of health and fitness, it can power sensors and monitors, while in industrial settings, it can be used for various monitoring and control tasks.  The module's ease of use, facilitated by an easy-to-use AT command set and RUI3 API support, makes it accessible to developers of all skill levels.","LoRa, BLE","EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK11722 requires a WisBlock Base for power and programming.  Securely mounting the module with screws is crucial for proper operation.  Always connect an antenna when using the LoRa or BLE transceivers to prevent damage.  The module operates on a supply voltage of 1.8V to 3.6V and has an operating temperature range of -40°C to 85°C.
P55,RAK3372 WisBlock LPWAN Module,RAK3372,Wisblock,N/A,Hardware,Both,"The RAK3372 WisBlock LPWAN Module is a compact and versatile LoRaWAN module designed for seamless integration into various IoT applications.  Built around the STM32WLE5CCU6 LoRa SoC, it offers ultra-low power consumption, making it ideal for battery-powered devices and long-term deployments. Its small form factor and WisBlock compatibility simplify integration into larger systems.  The module's ease of use and access to I/O ports make it suitable for rapid prototyping and development.  Target applications span diverse industries, including smart agriculture (precision farming, livestock monitoring), industrial automation (remote sensor monitoring, predictive maintenance), and smart city initiatives (environmental monitoring, infrastructure management). The RAK3372's ability to support LoRa point-to-point communication adds another layer of flexibility for specific use cases.",LoRaWAN,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK3372 requires a WisBlock Base for power and programming.  It features ultra-low power consumption of less than 2.0 µA in sleep mode and a configurable LoRa output RF power up to 22 dBm.  The module is compact (20mm x 30mm) and uses a 2.0V to 3.6V power supply.  An antenna is required for LoRa operation; using the transceiver without an antenna can damage the system.  Secure mounting with screws is recommended for optimal performance.  Note that WB_IO3 (WisBlock IO Pin 3) may conflict with other WisBlock modules due to its internal 10 kΩ resistor.
P56,RAK4631-R WisBlock LoRaWAN Module,RAK4631-R/RAK4631,Wisblock,N/A,Hardware,Both,"The RAK4631-R WisBlock Core module is a compact and versatile LoRaWAN module built upon the RAK4630, combining an nRF52840 MCU and an SX1262 LoRa chip.  Its primary function is to provide a low-power, long-range wireless communication solution for various IoT applications.  The module's ultra-low power consumption (2.0 µA in sleep mode) and high LoRa output power (up to 22 dBm) make it ideal for battery-powered deployments in diverse environments.  Its BLE interface further enhances its capabilities for short-range communication.  Suitable for home automation, sensor networks, building automation, and personal area networks (health/fitness sensors and monitors), the RAK4631-R simplifies development and testing with its easy access to I/O ports and compatibility with the WisBlock Base.","LoRaWAN, BLE","EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK4631-R and RAK4631 share the same hardware.  RAK4631-R utilizes RUI3 firmware for flexible development.  Requires a WisBlock Base for power and programming.  Always connect an antenna when using LoRa or BLE transceivers to prevent damage.  The module is secured with screws for proper function.  Temperature range: -40°C to +85°C. Supply voltage: 2.0V ~ 3.6V.
P57,RAK4631 WisBlock LoRaWAN Module,RAK4631/RAK4631-R,Wisblock,N/A,Hardware,Both,"The RAK4631 WisBlock LoRaWAN Module is a core module for the RAK WisBlock system, featuring a Nordic nRF52840 MCU supporting Bluetooth 5.0 and the Semtech SX1262 LoRa transceiver.  Its ultra-low power consumption, achieved through the efficient SX1262, makes it ideal for battery-powered applications in various sectors.  The module supports both LoRaWAN and LoRa point-to-point communication, enabling diverse IoT applications.  It's easily programmable using the Arduino IDE or PlatformIO, offering flexibility for developers.  Common applications include asset tracking, environmental monitoring, smart agriculture, and industrial automation, where its low power consumption and robust communication capabilities are highly valuable. The RAK4631 and RAK4631-R share the same hardware but differ in firmware; RAK4631 uses an Arduino BSP while RAK4631-R uses RUI V3, providing options for firmware development.","LoRaWAN, LoRa Point-to-Point, Bluetooth 5.0","EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","Requires a WisBlock Base for power and programming.  Always connect an antenna when using LoRa or Bluetooth to prevent damage.  The module can be converted between RAK4631 and RAK4631-R firmware depending on developer preference.  The module features I2C, SPI, analog and digital inputs and outputs."
P58,RAK2305 WisBlock WiFi Interface Module,RAK2305,Wisblock,N/A,Hardware,Both,"The RAK2305 WisBlock WiFi Interface Module is a 2.4 GHz Wi-Fi and Bluetooth module designed for integration into production-ready IoT solutions using the WisBlock modular system.  It requires a WisBlock Core and Base module for operation.  The module, based on the ESP32-WROVER, features a PCB antenna and supports various IoT applications. It can function as a central or peripheral device in a Bluetooth network and internally supports SPI, I2C, and UART interfaces.  Its modular design makes it suitable for a wide range of applications where wireless connectivity is needed, including smart home automation, industrial monitoring, and various other IoT projects requiring both Wi-Fi and Bluetooth capabilities. The power consumption can be controlled by the WisBlock Core MCU, making it energy-efficient for battery-powered applications.","Wi-Fi, Bluetooth","EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK2305 must be used with a WisBlock Base module for power and a WisBlock Core module for functionality. Secure mounting with screws is crucial for proper operation. The module uses an ESP32-WROVER with an integrated PCB antenna.  It offers the option to flash custom firmware for tailored applications.
P59,RAK5860 WisBlock NB-IoT Interface Module,RAK5860,Wisblock,N/A,Hardware,Both,"The RAK5860 WisBlock NB-IoT Interface Module extends the WisBlock system with LTE NB-IoT connectivity, enabling the creation of compact and versatile IoT devices.  Based on the Quectel BG77 module, it supports CAT M1 and CAT NB2 connectivity, providing reliable low-power wide-area network (LPWAN) communication for various applications.  Its integrated GNSS location capabilities (GPS and Glonass) enhance location tracking and geofencing functionalities.  The module is easily programmable using the Quectel AT command set via a serial connection to the WisBlock Core MCU, simplifying development and integration.  Suitable for diverse industries, the RAK5860 finds applications in asset tracking, remote monitoring, smart agriculture, and environmental sensing, where low-power, long-range communication is crucial.  Its compact size and modular design make it ideal for space-constrained deployments.","NB-IoT, LTE-M, GNSS (GPS, Glonass)","EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",Requires a WisBlock Base for power and a WisBlock Core module for sensor interaction.  A battery connected to the WisBlock Base is mandatory; USB power alone is insufficient for reliable operation.  External antennas are required for both LTE and GPS for optimal performance.  The module's power consumption can be controlled by the WisBlock Core MCU.  Securely fix the module with screws for proper functionality.
P60,RAK13101 WisBlock GSM/GPRS Module,RAK13101,Wisblock,N/A,Hardware,Both,"The RAK13101 WisBlock GSM/GPRS Module is a cellular communication module designed to add GSM/GPRS capabilities to the WisBlock platform.  Leveraging the Quectel MC20CE cellular module, it provides connectivity for various IoT applications requiring cellular network access. Its compact size and ease of integration with the WisBlock system make it ideal for diverse projects.  Target industries include those needing remote data transmission in areas with limited or no Wi-Fi or LoRaWAN coverage.  Common applications could include asset tracking, remote monitoring of environmental conditions, and data collection in areas with limited infrastructure. The module's small form factor allows for integration into compact and portable devices.","GSM, GPRS, GNSS (BeiDou, GPS, GLONASS, QZSS)",850/900/1800/1900 MHz,Requires a WisBlock Base with an IO slot and a dedicated battery for sufficient power during cellular transmissions.  A WisBlock Core module is also necessary for operation. Uses a Nano SIM card.  Proper functionality requires securing the module with screws.  The module provides a Micro-USB connector for debugging and log output.
P61,RAK13102 WisBlock Blues Notecarrier Module,RAK13102,Wisblock,N/A,Hardware,Both,"The RAK13102 WisBlock Blues Notecarrier Module is a compact hardware component designed to integrate Blues.IO Notecards into the WisBlock system, enabling cellular connectivity for various IoT applications.  It facilitates the connection of cellular Blues.IO Notecards, leveraging the Notecard's capabilities for data logging and transmission.  This module is particularly useful in applications requiring robust and reliable cellular communication, even in areas with limited or unreliable network infrastructure.  Target industries include those needing remote data acquisition and transmission, such as environmental monitoring, asset tracking, and remote sensor networks. The small form factor makes it ideal for space-constrained deployments.","LTE-M, NB-IoT, GSM","EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","Requires a WisBlock Base with an IO slot and a dedicated battery for operation, as the USB power from a PC is insufficient for cellular transmissions.  A WisBlock Core module and a SIM card compatible with the user's location are also necessary. The module should be secured with screws for proper functionality.  The module measures 29 mm x 50 mm."
P62,RAK13300 WisBlock LPWAN Wireless Module,RAK13300,Wisblock,N/A,Hardware,Both,"The RAK13300 WisBlock LPWAN Wireless Module is a compact and low-power LoRa module ideal for long-range wireless data transmission in various IoT applications.  Based on the Semtech SX1262 LoRa chip, it offers seamless integration with popular LoRaWAN server platforms like TheThingsNetwork (TTN), Chirpstack, and Actility. Its small size and ease of use make it suitable for diverse deployments, from asset tracking and environmental monitoring to smart agriculture and industrial automation.  The module's low power consumption extends battery life in battery-powered applications, making it cost-effective for long-term deployments. Its compatibility with LoRaWAN ensures interoperability with a wide range of existing infrastructure and devices.",LoRaWAN,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",Requires a WisBlock Base for power and a WisBlock Core for sensor integration.  The module should be secured with screws for proper functionality.  Operates within a supply voltage of 2.0V to 3.6V and a temperature range of -40°C to 85°C.  Supports both OTAA and ABP activation methods for LoRaWAN networks and also allows for LoRa point-to-point communication.
P63,RAK13600 WisBlock NFC Reader Module,RAK13600,Wisblock,N/A,Hardware,Both,"The RAK13600 WisBlock NFC Reader Module is a compact and low-power solution for NFC-related IoT applications.  Based on the NXP PN532 chip, it provides a versatile platform for integrating Near Field Communication capabilities into various projects. Its small form factor and low power consumption make it ideal for battery-powered devices and space-constrained deployments.  The module supports multiple NFC operating modes, enabling interaction with a wide range of NFC tags and devices. This makes it suitable for applications such as access control, asset tracking, contactless payments, and data logging in diverse industries, including retail, healthcare, and manufacturing.  Its integration with the WisBlock system simplifies development and deployment, allowing for seamless connection to other WisBlock modules and a central processing unit.",NFC,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK13600 requires a WisBlock Base for power and a WisBlock Core module for functionality. Secure mounting with screws is crucial for proper operation. The module operates at 13.56 MHz and is based on the standard 80C51 microcontroller core.  It measures 35 x 25 mm and utilizes an external antenna.
P64,RAK13801 WisBlock UWB Module,RAK13801,Wisblock,N/A,Hardware,Both,"The RAK13801 WisBlock UWB Module is a short-range wireless communication module based on Decawave's DW1000, utilizing Ultra-Wideband (UWB) technology.  Its primary function is precise location tracking of tagged assets, offering centimeter-level accuracy (10cm) for real-time location systems (RTLS).  This module is ideal for applications requiring high precision and dense tag deployments, minimizing infrastructure needs while maintaining cost-effectiveness.  Industries benefiting from the RAK13801 include those needing precise asset tracking, such as logistics, manufacturing, and healthcare.  Common applications include inventory management, equipment tracking, and patient monitoring, where knowing the exact location of assets or individuals is crucial for efficiency and safety.",UWB,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK13801 integrates an antenna, RF circuitry, power management, and clock circuitry. It supports data rates up to 6.8 Mbps and is compatible with 2-way ranging or TDOA location systems.  Requires a WisBlock Base for power and a WisBlock Core for functionality. Secure mounting with screws is essential for proper operation.  The module's small size (35 x 25 mm) makes it suitable for integration into compact devices."
P65,RAK12001 WisBlock Fingerprint Sensor Module,RAK12001,Wisblock,N/A,Hardware,Both,"The RAK12001 WisBlock Fingerprint Sensor Module is a compact and versatile module designed for integration into various IoT applications requiring biometric authentication.  Its core function is to provide secure fingerprint enrollment and matching capabilities.  The module uses the GROW R307 fingerprint sensor, enabling rapid fingerprint scanning and verification.  This makes it suitable for access control systems, time and attendance tracking, and other security-sensitive applications in diverse industries, including smart homes, offices, and industrial settings.  Its small size and WisBlock compatibility allow for easy integration into existing WisBlock systems, simplifying development and deployment.",UART,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK12001 requires a WisBlock Base for power and a WisBlock Core module for functionality.  It features a 3.3V power supply with a built-in 5V boost converter.  Secure mounting with screws is crucial for optimal performance. The module has a compact size of 10mm x 23mm and a scanning window of 19mm x 21mm.
P66,RAK12003 WisBlock Infrared Temperature Sensor Module,RAK12003,Wisblock,N/A,Hardware,Both,"The RAK12003 WisBlock Infrared Temperature Sensor Module is a contactless thermal measurement device designed for various applications.  Its primary function is accurate temperature sensing without physical contact, making it suitable for diverse industrial, medical, and IoT deployments.  In general industry, it can monitor the temperature of moving or hard-to-reach components for process control and predictive maintenance.  In medical applications, its accuracy within a narrow temperature range (35°C to 42°C) makes it suitable for body temperature measurement in mobile and IoT health monitoring systems.  The module's compact size and ease of integration with the WisBlock system allow for flexible deployment in various environments and applications requiring precise temperature readings.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK12003 requires a WisBlock Base for power and a WisBlock Core for data processing.  Secure mounting with screws is crucial for proper operation. The module operates within a temperature range of -20°C to 85°C and offers a configurable refresh rate.  Power consumption is minimized with a sleep current of less than 2.5 µA. The sensor is factory calibrated for improved accuracy.
P67,RAK12004 WisBlock MQ2 Gas Sensor Module,RAK12004,Wisblock,N/A,Hardware,Both,"The RAK12004 WisBlock MQ2 Gas Sensor Module is a compact and versatile sensor designed for various IoT applications.  It utilizes the MQ2 gas sensor from Winsen Electronics, providing detection capabilities for LPG, butane, propane, methane, alcohol, hydrogen, smoke, and other flammable gases.  Its primary function is to detect the presence and concentration of these gases, enabling real-time monitoring and triggering alerts. This module is ideal for integration into various systems requiring gas detection, such as smart homes, industrial safety monitoring, environmental monitoring, and agricultural applications where gas leaks or hazardous conditions need to be detected and addressed promptly. The module's small size and WisBlock compatibility make it easy to integrate into larger IoT systems.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK12004 requires a WisBlock Base and a Li-Ion/LiPo battery for power, and a WisBlock Core module for data processing and communication.  The module should be secured with screws for proper function. The detection range for flammable gases is 300～10000 ppm.  It operates on a 3.3V power supply."
P68,RAK12005 WisBlock Rain Sensor Module,RAK12005,Wisblock,N/A,Hardware,Both,"The RAK12005 WisBlock Rain Sensor Module is an electroconductive-liquid detection module designed for detecting the presence of water and other conductive liquids in various IoT applications.  It utilizes a Microchip MCP606 CMOS op-amp to provide a positive digital output signal when the sensing area is wet.  The module features a separate sensor PCB (RAK12030) connected via a cable, allowing for flexible placement of the sensor in exposed locations while keeping the main module in a protected environment. This makes it suitable for outdoor deployments where protection from the elements is needed.  Typical applications include smart agriculture (monitoring soil moisture, irrigation control), smart city infrastructure (detecting water leaks, flooding), and industrial automation (liquid level monitoring).",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK12005 requires a WisBlock Base for power and a WisBlock Core module for data processing.  A RAK12030 Rain Sensing Pad is also necessary. The module's detection threshold is configurable via a trimmer.  The module measures 15 x 25 mm, while the separate sensor PCB (RAK12030) measures 25 x 35 mm. Secure mounting with screws is recommended for optimal performance.  The module includes a power disconnect option to conserve energy."
P69,RAK12006 WisBlock PIR Sensor Module,RAK12006,Wisblock,N/A,Hardware,Both,"The RAK12006 WisBlock PIR Sensor Module is a compact and versatile motion detection sensor designed for integration into various IoT applications.  Its core function is to detect occupancy and motion using a pyroelectric infrared (PIR) sensor. The module's small size and WisBlock compatibility make it ideal for space-constrained projects and seamless integration with other WisBlock components.  The RAK12006 is suitable for a wide range of applications, including smart home automation (detecting presence for lighting or security systems), building automation (monitoring occupancy in rooms or spaces), and industrial applications (detecting motion in machinery or equipment). Its ease of use and integration with the WisBlock ecosystem make it a valuable asset for developers seeking to add motion detection capabilities to their IoT projects.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK12006 uses the Senba Sensing Technology AM312 chipset and features digital signal processing with a built-in filter to minimize interference.  It requires a WisBlock Base for power and a WisBlock Core for data processing. Secure mounting with screws is crucial for optimal performance. The module measures 15 x 25 mm.
P70,RAK12007 WisBlock Ultrasonic Sensor Module,RAK12007,Wisblock,N/A,Hardware,Both,"The RAK12007 WisBlock Ultrasonic Sensor Module is a compact and versatile device designed for distance measurement applications.  Based on the angoSense CS100 chip, it integrates an ultrasonic transmitter and receiver, providing accurate distance readings from 2cm to 4m. Its small form factor and WisBlock compatibility make it ideal for integration into various IoT projects requiring proximity detection.  The module is suitable for a wide range of applications across diverse industries, including robotics, automation, and environmental monitoring.  For example, it can be used in robotics for obstacle avoidance, in automated systems for precise positioning, and in environmental monitoring for level sensing or proximity detection of objects.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK12007 requires a WisBlock Base for power and a WisBlock Core for application development.  Secure mounting with screws is crucial for proper functionality. The sensor outputs distance measurements as pulse width.  The module operates on a 3.3V power supply and has a standby current of less than 170 µA.
P71,RAK12008 WisBlock CO2 Sensor,RAK12008,Wisblock,N/A,Hardware,Both,"The RAK12008 WisBlock CO2 Sensor is a module designed to extend the WisBlock system, providing CO2 concentration measurement capabilities.  Based on the Sensirion STC31 sensor utilizing thermal conductivity, it offers I2C interfacing for easy integration into various IoT applications.  Its primary application is in industrial settings where high CO2 concentrations need to be monitored, such as in factories or manufacturing facilities.  The sensor's data can be used for process optimization, safety monitoring, and environmental control.  While designed for high CO2 levels, it's crucial to note that it is not suitable for monitoring human breathing levels in indoor ambient environments.  The RAK12008 integrates seamlessly with other WisBlock components, simplifying the development of customized CO2 monitoring solutions.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK12008 requires a WisBlock Base for power and a WisBlock Core module for operation.  It features a measurement range of 0 to 100 vol% with an accuracy of 0.5 vol% + 3% (0 to 25 vol%) and 1 vol% + 3% (0 to 100 vol%).  The module includes a built-in temperature sensor and operates within a temperature range of 20°C to +85°C.  Secure mounting with screws is essential for proper functionality.  A software library and tutorial are provided for simplified integration.
P72,RAK12009 WisBlock MQ3 Alcohol Gas Sensor Module,RAK12009,Wisblock,N/A,Hardware,Both,"The RAK12009 WisBlock MQ3 Alcohol Gas Sensor Module is a compact and versatile sensor designed for detecting alcohol gas concentrations in various environments.  It utilizes the MQ-3B sensor from Winsen Electronics, offering a detection range of 25 to 500 ppm. This module is part of the RAKWireless WisBlock system, making it easily integrable with other WisBlock components for creating customized IoT solutions. Its primary application lies in environmental monitoring, industrial safety, and breathalyzer-type applications where precise alcohol gas detection is crucial.  The module's small size and low power consumption make it suitable for portable and embedded systems.  It can be integrated into larger systems for applications such as industrial process control, environmental monitoring, and safety systems requiring alcohol gas detection.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK12009 requires a WisBlock Base and a Li-ion/LiPo battery for power.  A WisBlock Core module is also necessary for data processing and communication. The module measures 25 x 35 mm and uses a 7-bit I2C address of 0x54. Secure mounting with screws is recommended for optimal performance.
P73,RAK12010 WisBlock Ambient Light Sensor Module,RAK12010,Wisblock,N/A,Hardware,Both,"The RAK12010 WisBlock Ambient Light Sensor Module is a compact and versatile sensor designed to seamlessly integrate into the WisBlock system, providing ambient light sensing capabilities.  It utilizes the Vishay Semiconductors VEML7700 chip with a user-friendly I2C interface, simplifying the development of ambient light data acquisition systems. This module is ideal for various applications requiring precise light level measurements, such as smart home automation, environmental monitoring, and industrial control systems. Its small size and low power consumption make it suitable for battery-powered devices and space-constrained environments.  The RAK12010 can be easily integrated into larger IoT systems, providing valuable data for applications like lighting control, occupancy detection, and agricultural monitoring.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK12010 requires a WisBlock Base for power and a WisBlock Core for data processing.  Secure mounting with screws is crucial for optimal performance. The module boasts a 16-bit resolution and measures light levels from 0 lx to approximately 120,000 lx with excellent temperature compensation.  Its low current consumption (2-45 µA) contributes to extended battery life in portable applications."
P74,RAK12011 WisBlock Barometer WT Sensor Module,RAK12011,Wisblock,N/A,Hardware,Both,"The RAK12011 WisBlock Barometer WT Sensor Module is a compact and water-resistant barometric pressure and temperature sensor designed for integration into various IoT applications.  Utilizing the STMicroelectronics LPS33HW MEMS sensor, it provides accurate readings via an I2C interface, making it suitable for diverse environmental monitoring and data acquisition systems. Its small size and low power consumption make it ideal for battery-powered applications.  The module's water resistance enhances its reliability in challenging environments. Typical applications include weather monitoring, altitude measurement, and other applications requiring precise barometric pressure and temperature data in potentially wet conditions.  It is easily integrated into larger systems using the WisBlock modular platform.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK12011 requires a WisBlock Base for power and a WisBlock Core for data processing.  Secure mounting with screws is crucial for optimal performance. The module features embedded temperature compensation for improved accuracy.  Its low power consumption (down to 3 μA) extends battery life in portable or remote deployments. The module measures 10 x 10 mm.
P75,RAK12012 WisBlock Heart Rate Sensor Module,RAK12012,Wisblock,N/A,Hardware,Both,"The RAK12012 WisBlock Heart Rate Sensor Module is a compact and integrated pulse oximetry and heart-rate monitor designed for wearable and other health-monitoring applications.  Utilizing the Analog Devices MAX30102 sensor, it provides accurate measurements of heart rate and blood oxygen saturation (SpO2). Its low power consumption and robust design make it suitable for various applications requiring continuous monitoring, even in challenging environments.  The module's small size and WisBlock compatibility allow for easy integration into larger IoT systems for remote patient monitoring, fitness trackers, and other health-related projects. The RAK12012 is ideal for developers seeking a reliable and easy-to-integrate solution for incorporating vital sign monitoring into their IoT devices.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK12012 requires a WisBlock Base for power and a WisBlock Core for data processing. Secure mounting with screws is crucial for optimal performance. The module operates within a wide temperature range of -40°C to +85°C, ensuring reliable operation in diverse conditions.  It features ultra-low power operation and is resilient to motion artifacts."
P76,RAK12013 WisBlock Radar Sensor Module,RAK12013,Wisblock,N/A,Hardware,Both,"The RAK12013 WisBlock Radar Sensor Module is a 3.2 GHz microwave radar module designed for motion detection in various IoT applications.  Utilizing the Doppler radar effect, it detects moving objects within a 5-7 meter range and 360-degree field of view.  Its compact size and WisBlock compatibility make it ideal for integration into diverse projects requiring motion sensing.  Target applications include security systems, smart home automation, industrial monitoring, and robotics, where detecting movement is crucial. The module's non-interference with other wireless signals like LoRa, Wi-Fi, and Bluetooth makes it suitable for integration into complex IoT networks.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK12013 requires a WisBlock Base for power and a WisBlock Core for data processing.  The module's positive sensing face (component side) is more effective than the opposite side.  Multiple radar signals may interfere with each other at distances greater than 1 meter.  Secure mounting with screws is recommended for optimal performance. The module operates on a 3.3V power supply and consumes less than 3 µA of current.
P77,RAK12014 WisBlock ToF Sensor Module,RAK12014,Wisblock,N/A,Hardware,Both,"The RAK12014 WisBlock ToF Sensor Module is a compact and versatile Time-of-Flight (ToF) sensor designed for integration into various IoT applications.  Based on the STMicroelectronics VL53L0X, it provides accurate distance measurements up to 2 meters. Its use of a 940 nm VCSEL emitter ensures high immunity to ambient light and robust performance.  The module's small size and WisBlock compatibility make it ideal for space-constrained applications and seamless integration into larger WisBlock systems.  Typical applications include robotics, automation, proximity detection, and level sensing in diverse industries such as manufacturing, logistics, and smart home environments.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK12014 requires a WisBlock Base for power and a WisBlock Core for data processing. Secure mounting with screws is crucial for optimal performance. The module operates on a 2.6V to 3.5V power supply and consumes between 3 µA and 19 mA depending on operation mode.  Its compact 10mm x 10mm size allows for easy integration into various projects.
P78,RAK12015 WisBlock Vibration Detection Sensor Module,RAK12015,Wisblock,N/A,Hardware,Both,"The RAK12015 WisBlock Vibration Detection Sensor Module is a compact and versatile device designed for integrating vibration sensing capabilities into various IoT applications.  Utilizing the high-precision ANT-801S sensor, it can detect even micro-shocks and vibrations without directional limitations. This makes it suitable for a wide range of applications requiring precise vibration monitoring, such as predictive maintenance in industrial settings (detecting anomalies in machinery), security systems (detecting intrusions or tampering), and structural health monitoring (identifying potential structural weaknesses). Its small size and WisBlock compatibility allow for easy integration into existing WisBlock systems, simplifying deployment and reducing development time. The module's data can be used to trigger alerts or actions based on predefined vibration thresholds, enabling proactive responses to potential issues.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK12015 requires a WisBlock Base for power supply and a WisBlock Core module for data processing and communication. Secure mounting with screws is crucial for optimal performance.  The module measures 15mm x 25mm and operates with a 3.3V power supply.
P79,RAK12016 WisBlock Flex Sensor Module,RAK12016,Wisblock,N/A,Hardware,Both,"The RAK12016 WisBlock Flex Sensor Module is a compact and versatile sensor designed for measuring the degree of bending or deflection.  It utilizes the Spectrasymbol FS-L-0095-103-ST chipset, providing accurate readings (within 1 degree) across a range of 1 to 180 degrees.  This module seamlessly integrates into the RAKWireless WisBlock system, making it ideal for a wide array of applications requiring flexible and precise bend sensing.  Common use cases include robotics, wearable technology, human-machine interfaces, and other applications where monitoring bending or flexing is crucial. The small form factor and ease of integration with the WisBlock ecosystem make it a convenient and powerful solution for various IoT projects.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",Requires a WisBlock Base and WisBlock Core module for operation.  The module measures 15 x 25 mm and operates on a 3.3V power supply. Secure mounting with screws is recommended for optimal performance.
P80,RAK12017 WisBlock IR Detection Sensor Module,RAK12017,Wisblock,N/A,Hardware,Both,"The RAK12017 WisBlock IR Detection Sensor Module is a compact and versatile sensor designed for detecting infrared (IR) signals.  Its primary function is to determine whether an IR signal is reflected back, enabling applications such as object proximity detection and line tracking.  This module is ideal for integration into various IoT projects requiring simple, yet effective IR sensing capabilities.  Common applications include detecting the presence of objects, differentiating between black and white lines (useful in robotics and automation), and triggering actions based on IR signal changes.  Its small size and WisBlock compatibility make it easy to integrate into larger systems.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK12017 uses the Everlight ITR20001 optical switch and has an infrared line tracking range of 1 cm to 5 cm.  It requires a WisBlock Base for power supply and a WisBlock Core module for data processing. Secure mounting with screws is crucial for optimal performance. The module operates with a 3.3V power supply and consumes less than 21 mA.
